ETagGantryID,LinkID,LocationType,PositionLon,PositionLat,RoadID,RoadName,RoadClass,RoadDirection,Start,End,LocationMile,LocationMile_Numeric
03F0140N,0000300101400F,4,121.62816,25.05032,000030,國道3號,0,N,南港,新台五路,14K+000,14000
03F0116N,0000300101150F,4,121.64347,25.06561,000030,國道3號,0,N,新台五路,汐止系統,11K+600,11600
03F0054N,0000300100520C,4,121.681786,25.103746,000030,國道3號,0,N,汐止系統,瑪東系統,5K+400,5400
03F0021N,0000300100200C,4,121.69863,25.129515,000030,國道3號,0,N,瑪東系統,基金,2K+100,2100
05F0528N,0000500105300G,4,121.80696,24.632729,000050,國道5號,0,N,蘇澳,羅東,52K+800,52800
05F0438N,0000500104400G,4,121.789474,24.711027,000050,國道5號,0,N,羅東,宜蘭(壯圍),43K+800,43800
05F0309N,0000500103100G,4,121.78635,24.823656,000050,國道5號,0,N,宜蘭(四城、大福),頭城,30K+900,30900
05F0287N,0000500102820G,4,121.789185,24.842714,000050,國道5號,0,N,頭城,坪林交控中心專用道,28K+700,28700
05FR143N,0000501105010G,4,121.782364,24.733961,000050,國道5號,0,N,宜蘭(壯圍),宜蘭(四城、大福),14K+300,14300
05F0055N,0000500100500F,4,121.652084,24.996504,000050,國道5號,0,N,坪林交控中心專用道,石碇,5K+500,5500
05F0001N,0000500100000A,4,121.62472,25.035036,000050,國道5號,0,N,石碇,南港系統,0K+100,100
